ds,yhat,yhat_lower,yhat_upper
2023-01-01,18314.887821227465,6939.375637245971,29790.644796800385
2023-01-02,17336.01400701223,6254.218579335282,28577.38417213181
2023-01-03,18942.650566404976,7714.056050489274,30260.15623799838
2023-01-04,16189.073840462283,5279.581771577384,26615.826853275674
2023-01-05,19180.872695027112,8004.04692621122,30241.413903018387
2023-01-06,20062.945707417435,9128.636534828256,31602.17623203931
2023-01-07,16915.251841698097,6676.515227173614,28616.933002125228
2023-01-08,18959.27124584352,7515.354970927783,30095.569342821727
2023-01-09,17476.825685991847,6569.039115649114,28343.35733176751
2023-01-10,18609.398006026026,7378.985415522875,30437.59076844842
2023-01-11,15420.664593592084,3829.466862431281,25799.19023475044
2023-01-12,18024.49166442481,6344.868612651466,30107.160763733693
2023-01-13,18572.741572607923,6725.944460091726,30496.586177643974
2023-01-14,15150.86809496168,3933.133392906488,26326.912897365484
2023-01-15,16984.261162951945,5713.87180175613,28534.463720921416
2023-01-16,15356.993309653195,4289.96809785634,26533.108081365215
2023-01-17,16411.108833592156,5285.61151492442,28612.29811125915
2023-01-18,13209.170087215318,2592.925781724471,25065.534945914693
2023-01-19,15862.31094000647,5170.199235238524,26769.716394536794
2023-01-20,16518.141700475822,4896.432150966945,27782.872563834175
2023-01-21,13256.481424295967,2701.031970937665,25461.60557944437
2023-01-22,15295.874042220621,3234.874775934095,26925.714477136724
2023-01-23,13912.535652539374,2051.8981915634686,24844.316700099305
2023-01-24,15239.86829743669,3939.56899269188,26077.805942961713
2023-01-25,12331.248362790207,336.41495901488423,24339.48465708439
2023-01-26,15288.332963763449,2907.5381728032326,26226.230274605747
2023-01-27,16249.221692907719,5750.669840069008,28282.43563946311
2023-01-29,15603.71281913899,4375.504228592742,26895.22539517551
2023-01-31,16024.804764695014,4624.455320622341,28265.21744481884
2023-02-01,13300.002287819563,1877.778217455676,24435.85434216171
2023-02-02,16397.41911343848,5414.666429777526,28160.608385704712
2023-02-03,17451.543420448485,5479.957486754869,28499.76443726891
2023-02-04,14530.696254507899,3047.5508490537936,24771.312708325477
2023-02-05,16843.82497109647,6133.374344727806,27971.296570144383
2023-02-06,15659.671889403762,4066.029879750937,26641.717083092368
2023-02-07,17106.448321882053,5120.507761346492,27580.760405924317
2023-02-08,14234.718702371967,2415.9318512631116,26727.13238536603
2023-02-09,17145.73657780648,5500.9446052717585,29097.417278645753
2023-02-10,17979.57007312899,5957.050417924145,28493.670644990016
2023-02-11,14810.987857276434,3202.6539778488755,25757.895040113817
2023-02-13,15391.113206239705,4730.534865877458,27005.152080107422
2023-02-14,16552.197002418045,5468.740620078795,27880.825651194
2023-02-15,13397.737841057044,1288.8933123549102,24199.88772733261
2023-02-16,16036.663024109193,5014.256001190808,27085.107947009317
2023-02-18,13218.158192545172,1585.1516420648252,24222.12246281917
2023-02-19,15064.179804986241,4187.778050253602,26092.36946126488
2023-02-20,13435.728887223502,2325.473418884851,24639.958541072534
2023-02-21,14472.840021637052,3365.32469231021,25530.08251645233
2023-02-22,11236.811508512375,-1.4226321075818276,22749.360715884737
2023-02-23,13838.269189111452,1910.9696601466355,25548.3060990337
2023-02-24,14425.063106324516,3263.751518357471,26496.42046261288
2023-02-25,11077.973603288756,-328.42588091869686,22125.610074730317
2023-02-26,13017.184370544854,1652.8711334517218,24743.0313547043
2023-02-27,11521.1712319918,-584.2394217030323,22964.53786231088
2023-02-28,12726.143760669798,1735.2425493131857,23630.90126836108
2023-03-01,9688.749908541486,-1959.031911669193,20818.011345497453
2023-03-02,12514.289279260773,273.26406239258273,23934.301029434086
